Sample_Pep	Group	Count_1	Count_2	Intensity_1	Intensity_2
113-A2	AB	9	14	56	93
113-B3	AB	9	20	29	57
114-A4	AB	33	41	137	196
110-B3	B	114	100	471	511
142-B4	B	18	22	80	140
111-A5	AB	138	122	765	612
112-A1	AB	146	178	540	808
112-B2	AB	94	177	1029	1806
113-A3	AB	16	10	38	29
113-B4	AB	16	6	87	55
114-A5	AB	79	72	383	285
110-B4	B	142	110	2895	2559
142-B5	B	23	11	113	36
111-B1	AB	204	139	2246	1369
112-A2	AB	147	103	617	506
112-B3	AB	138	70	496	268
113-A4	AB	17	7	51	16
113-B5	AB	18	14	82	90
114-B1	AB	142	125	788	790
114-B2	AB	39	77	279	447
115-A3	AB	131	196	1032	1443
115-B4	AB	71	178	680	1226
143-A5	AB	149	191	654	1037
116-A1	AD	61	108	208	330
116-D2	AD	22	63	57	245
117-A2	AD	0	19	0	68
117-D3	AD	7	10	36	25
114-B3	AB	35	52	109	281
115-A4	AB	177	212	868	884
115-B5	AB	119	102	712	478
143-B1	AB	185	205	1757	1676
116-A2	AD	47	78	139	293
116-D3	AD	26	27	100	91
117-A3	AD	7	6	27	14
117-D4	AD	5	6	34	21
114-B4	AB	40	48	139	222
115-A5	AB	126	120	471	516
143-A1	AB	74	72	229	235
143-B2	AB	163	57	1400	500
116-A3	AD	24	36	101	93
116-D4	AD	41	62	148	174
117-A4	AD	5	7	31	12
117-D5	AD	6	6	31	9
114-B5	AB	51	63	388	373
115-B1	AB	183	281	1957	2332
143-A2	AB	157	89	621	313
143-B3	AB	50	46	195	170
116-A4	AD	20	45	74	153
116-D5	AD	73	49	253	199
117-A5	AD	5	6	23	8
117-D6	AD	2	7	8	15
115-A1	AB	135	137	631	544
115-B2	AB	107	176	793	1252
143-A3	AB	120	83	977	690
143-B4	AB	49	89	226	711
116-A5	AD	29	75	73	252
116-D6	AD	56	47	184	135
117-D1	AD	3	1	4	1
118-A1	AD	98	111	341	383
115-A2	AB	99	69	367	332
115-B3	AB	94	75	354	303
143-A4	AB	92	74	357	323
143-B5	AB	167	106	945	447
116-D1	AD	57	49	204	129
117-A1	AD	7	7	43	31
117-D2	AD	3	2	24	2
118-A2	AD	58	59	210	207
118-A3	AD	55	108	341	736
118-D4	AD	112	44	556	117
119-A4	AD	206	88	1024	476
119-D5	AD	188	230	756	1162
120-A5	AD	33	49	101	226
120-D6	AD	34	52	122	227
144-D1	AD	132	174	879	952
131-M	M	128	132	757	588
118-A4	AD	33	57	155	190
118-D5	AD	37	61	153	200
119-A5	AD	206	204	1667	1247
119-D6	AD	202	169	1302	1002
120-D1	AD	88	92	335	414
144-A1	AD	84	55	455	208
144-D2	AD	124	99	734	481
134-M	M	84	82	365	377
118-A5	AD	116	53	493	175
118-D6	AD	133	95	505	370
119-D1	AD	171	150	969	802
120-A1	AD	60	77	313	229
120-D2	AD	43	47	215	198
144-A2	AD	71	84	277	405
144-D3	AD	72	88	356	369
135-M	M	59	67	323	342
118-D1	AD	127	87	592	306
119-A1	AD	280	231	1503	1025
119-D2	AD	165	108	814	436
120-A2	AD	42	27	179	100
120-D3	AD	54	48	153	198
144-A3	AD	121	169	792	1672
144-D4	AD	91	128	545	565
147-M	M	21	26	122	151
118-D2	AD	50	33	159	89
119-A2	AD	150	156	689	565
119-D3	AD	84	80	311	307
120-A3	AD	49	33	173	129
120-D4	AD	68	65	325	265
144-A4	AD	117	134	518	646
144-D5	AD	113	101	538	393
157-M	M	23	23	106	81
118-D3	AD	37	51	130	151
119-A3	AD	105	104	706	594
119-D4	AD	112	99	609	448
120-A4	AD	24	43	50	148
120-D5	AD	54	36	317	130
144-A5	AD	69	32	219	159
144-D6	AD	90	87	482	321
158-M	M	10	11	37	37
121-B1	BD	39	12	117	55
121-D2	BD	2	2	4	7
122-B2	BD	464	409	3180	2985
122-D3	BD	125	114	480	413
123-B3	BD	82	57	374	178
123-D4	BD	129	61	494	203
124-B4	BD	26	16	167	50
124-D5	BD	31	43	165	202
121-B2	BD	10	10	85	22
121-D3	BD	8	9	43	17
122-B3	BD	153	174	686	669
122-D4	BD	142	108	622	366
123-B4	BD	72	63	264	191
123-D5	BD	74	76	282	315
124-B5	BD	20	24	100	112
124-D6	BD	55	42	225	230
121-B3	BD	12	8	26	96
121-D4	BD	4	4	46	17
122-B4	BD	292	182	2194	1605
122-D5	BD	167	158	783	618
123-B5	BD	165	263	721	1388
123-D6	BD	199	181	897	734
124-D1	BD	90	75	569	349
125-B1	BD	95	102	643	806
121-B4	BD	9	7	50	28
121-D5	BD	7	4	59	23
122-B5	BD	399	376	2129	1760
122-D6	BD	191	236	820	1060
123-D1	BD	220	397	935	2373
124-B1	BD	16	27	58	126
124-D2	BD	19	13	95	42
125-B2	BD	83	80	287	341
121-B5	BD	14	11	69	41
121-D6	BD	6	6	16	36
122-D1	BD	531	361	3096	1749
123-B1	BD	351	362	2244	2264
123-D2	BD	159	186	614	952
124-B2	BD	24	19	101	60
124-D3	BD	10	38	63	180
125-B3	BD	91	104	348	410
121-D1	BD	10	7	36	17
122-B1	BD	686	790	5363	7482
122-D2	BD	195	301	773	1361
123-B2	BD	116	125	491	518
123-D3	BD	69	51	242	202
124-B3	BD	8	18	36	75
124-D4	BD	26	17	110	41
125-B4	BD	73	70	389	357
125-B5	BD*	23	41	66	250
125-D6	BD*	32	31	147	120
145-D1	BD	36	15	328	84
126-A1	ABD	21	19	135	104
126-B2	ABD	4	7	34	35
126-D3	ABD	6	5	9	11
127-A3	ABD	53	53	344	454
127-B4	ABD	68	53	564	393
