Set,HLA-I frequency,HLA-II frequency,Overall frequency
CD4_h_27,0.913011269214679,0.884507871824486,0.807565654684848
 CD8_h_27,0.957748969643496,0.613065095845201,0.587162463870132
 CD4_CD8_h_27,0.922409850423841,0.884507871824486,0.815878773748334
CD4_b_27,0.768048766118983,0.846851497494619,0.650423247736755
 CD8_b_27,0.957748969643496,0.613065095845201,0.587162463870132
 CD4_CD8_b_27,0.922409850423841,0.846851497494619,0.781144163135218
CD4_d_27,0.913011269214679,0.884507871824486,0.807565654684848
 CD8_d_27,0.95126080662591,0.613065095845201,0.583184797587896
 CD4_CD8_d_27,0.938266455578301,0.846851497494619,0.794572352955452
CD4_bd_27,0.922409850423841,0.846851497494619,0.781144163135218
 CD8_bd_27,0.937966625298073,0.761899929782226,0.714636705952674
 CD4_CD8_bd_27,0.921427914011702,0.846851497494619,0.780312608814152
Bc_27,0.860055998269493,0.528386601845888,0.45444206632279
